,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13
1,3.476415845,0.47667179,0.167398074,0.141023108,0.880046053,0.127721061,0.590106831,0.491494885,0.180185353,433352596.9,0,534,8.516163301
2,2.473248608,1.081732459,0.056179857,0.338913138,1.046061053,0.082562706,1.114546871,0.031556508,0.795029954,700479308.4,0,904,13.11109368
3,0.677149493,2.637173717,0.049393187,0.358054275,0.334039469,0.580735199,0.013032707,0.842415067,0.247110425,686178569.6,0,2624,51.34633437
4,0.709506267,2.524293355,0.080172616,0.121941453,0.937014862,0.304724264,0.380192619,0.464245063,0.040692602,267783585.7,0,824,15.99372516
5,2.579665402,0.661255639,0.272916053,0.017969593,0.221770243,0.527453395,0.176307636,0.5198804,0.323222511,379223154,10,2484,1.092778033
6,2.272349614,0.94956403,0.217068564,0.075678611,0.553525624,0.027368969,1.488920496,0.276476727,0.229348218,89956298.11,0,1072,16.97461625
7,2.076334124,1.345244053,0.034227628,0.484852653,0.875075898,0.244668709,0.410681928,0.438799152,0.175428234,457021425.6,0,494,12.07175632
8,1.998908877,1.217930854,0.151299229,0.460066951,0.25878546,0.107548591,1.047575116,0.320857261,0.104612533,162971154.4,0,770,11.97597682
9,2.632337582,0.879819367,0.131532903,0.565378322,0.349159345,0.116991666,0.866566764,0.321392196,0.229325678,266494591.7,0,1372,22.71264935
10,0.709486378,2.350500163,0.144491971,0.197688332,0.932009548,2.58E-06,0.016947836,2.273666249,0.20660587,1116946189,0,2660,39.38040792
11,2.085328936,1.118195284,0.180195625,0.321312766,0.232288097,0.189536266,0.810187957,0.354020075,0.06829683,111852500.6,0,1276,19.90320979
12,1.488768501,1.733826103,0.071736356,0.299047276,0.689939144,0.312405862,0.442265584,0.283463326,0.407626924,367297213.6,0,486,9.753158669
13,1.312855519,1.75123066,0.132950817,0.253883458,0.779227168,1.54E-05,1.417343852,0.27349582,0.311315801,219880516,0,960,15.429432
14,4.422077996,0.035545263,0.303969,0.154947109,0.000549223,0.520953134,0.429534043,0.368958892,0.148364872,324101270.8,0,2812,1.330299256
15,2.584243068,0.840137212,0.18894835,0.198979611,0.205319076,0.394923622,0.435883336,0.360494759,0.225819153,74960321.74,0,1106,21.13576155
16,1.753787994,1.371513245,0.158292992,0.313394313,0.259408638,0.342625494,0.3978487,0.435407774,0.072093167,113358157.6,0,1220,38.1531293
17,2.546082116,0.673370653,0.279442113,0.024617253,0.374259096,0.282587376,0.500721215,0.483634504,0.006345816,220815601.9,0,1682,49.43727967
18,2.05442977,1.054453831,0.226260352,0.003082808,0.099852024,0.574552131,0.45266616,0.349173341,0.200236175,27165227.93,0,1252,23.99441344
19,0.891476678,2.219355311,0.101324434,0.796465531,0.030791935,0.452683151,0.163727794,0.599064837,0.264329774,415864743.6,0,2642,54.11365837
20,4.277726051,0.154751851,0.174332128,0.730827054,0.191824121,0.265367504,0.179144634,0.771042755,0.185392652,1017467662,0,2202,48.92092557
,,,,,,,,,,,,,
,,,,,,,,,,27165227.93,,,23.76733844
